token_id,threshold,coverage,success,precision,status,total_count
1260,0.48,211,211,1.0,ok,437
1261,0.79,2162,2162,1.0,ok,14281
1265,0.77,301,301,1.0,ok,1992
1284,,0,0,,fallback_no_valid_threshold,175
1285,0.76,268,268,1.0,ok,1284
1290,0.64,89,89,1.0,ok,303
1292,0.48,131,131,1.0,ok,295
1307,0.88,2658,2658,1.0,ok,14955
1310,0.84,911,911,1.0,ok,3076
1316,0.8,331,331,1.0,ok,1476
1325,0.84,98,98,1.0,ok,434
1329,,0,0,,fallback_no_valid_threshold,301
1339,0.85,261,261,1.0,ok,1414
1345,0.49,62,62,1.0,ok,127
1352,0.72,493,493,1.0,ok,1766
1359,0.65,150,150,1.0,ok,980
1380,0.52,370,370,1.0,ok,735
1387,0.93,803,803,1.0,ok,7771
1389,0.89,240,240,1.0,ok,615
1399,0.9,1351,1351,1.0,ok,6595
1402,0.5,259,259,1.0,ok,394
1421,0.48,465,465,1.0,ok,610
1435,0.87,1080,1080,1.0,ok,5530
1440,0.35,200,200,1.0,ok,279
1451,0.83,2010,2010,1.0,ok,5577
1459,0.7,448,448,1.0,ok,1311
1464,0.6,71,71,1.0,ok,328
1470,0.78,113,113,1.0,ok,339
1484,0.82,834,834,1.0,ok,4214
1487,0.87,109,109,1.0,ok,446
1489,0.61,297,297,1.0,ok,953
1490,0.68,365,365,1.0,ok,1040
1491,0.97,1307,1307,1.0,ok,30354
1493,0.85,270,270,1.0,ok,647
1494,0.66,209,209,1.0,ok,860
1497,0.5,68,68,1.0,ok,100
1501,0.81,823,823,1.0,ok,4105
1508,,0,0,,fallback_no_valid_threshold,234
1521,0.69,255,255,1.0,ok,886
1524,0.53,151,151,1.0,ok,311
1526,0.52,71,71,1.0,ok,243
1529,1.0,5344,5344,1.0,ok,57155
1534,0.77,136,136,1.0,ok,177
1538,0.64,583,583,1.0,ok,1507
1542,0.98,4097,4097,1.0,ok,25907
1543,0.75,315,315,1.0,ok,927
1550,0.69,125,125,1.0,ok,377
1556,,0,0,,fallback_no_valid_threshold,104
1559,,0,0,,fallback_no_valid_threshold,132
1570,0.8,289,289,1.0,ok,2250
1593,0.99,1454,1454,1.0,ok,8665
1594,0.84,497,497,1.0,ok,1605
1600,,0,0,,fallback_no_valid_threshold,157
1609,0.71,219,219,1.0,ok,682
1614,0.48,141,141,1.0,ok,283
1620,0.75,158,158,1.0,ok,927
1627,0.88,792,792,1.0,ok,5475
1635,0.61,216,216,1.0,ok,440
1652,0.77,72,72,1.0,ok,692
1654,0.48,96,96,1.0,ok,296
1661,0.7,581,581,1.0,ok,2391
1669,0.96,3864,3864,1.0,ok,19393
1671,0.9,1644,1644,1.0,ok,12049
1672,0.74,546,546,1.0,ok,11472
1676,0.46,65,65,1.0,ok,129
1678,,0,0,,fallback_no_valid_threshold,170
1683,,0,0,,fallback_no_valid_threshold,240
1685,,0,0,,fallback_no_valid_threshold,294
1698,0.63,88,88,1.0,ok,336
1710,0.71,146,146,1.0,ok,525
1712,0.58,52,52,1.0,ok,120
1725,0.13,124,124,1.0,ok,126
1728,0.65,172,172,1.0,ok,680
1729,0.85,433,433,1.0,ok,1403
1733,0.88,767,767,1.0,ok,3451
1741,0.98,361,361,1.0,ok,3368
1745,0.82,1531,1531,1.0,ok,5701
1746,0.73,147,147,1.0,ok,667
1749,0.72,94,94,1.0,ok,391
1750,,0,0,,fallback_no_valid_threshold,273
1759,0.62,156,156,1.0,ok,401
1774,0.74,374,374,1.0,ok,1401
1775,0.52,144,144,1.0,ok,274
1788,0.98,5344,5344,1.0,ok,40804
1800,0.63,59,59,1.0,ok,193
1801,0.8,290,290,1.0,ok,1412
1803,0.53,140,140,1.0,ok,210
1813,0.84,463,463,1.0,ok,1495
1816,0.55,95,95,1.0,ok,138
1824,0.92,522,522,1.0,ok,1201
1827,0.98,591,591,1.0,ok,5039
1830,,0,0,,fallback_no_valid_threshold,160
1833,0.43,178,178,1.0,ok,222
1834,0.85,343,343,1.0,ok,1192
1850,0.8,78,78,1.0,ok,534
1851,0.71,181,181,1.0,ok,326
1853,0.92,862,862,1.0,ok,4424
1892,0.99,6865,6865,1.0,ok,17738
1896,0.78,515,515,1.0,ok,1456
1900,0.88,87,87,1.0,ok,283
1906,0.9,3662,3662,1.0,ok,13274
1909,0.66,173,173,1.0,ok,1023
1914,0.65,198,198,1.0,ok,1580
1921,0.64,778,778,1.0,ok,4888
1937,,0,0,,fallback_no_valid_threshold,116
1944,0.98,798,798,1.0,ok,5415
1946,0.92,3418,3418,1.0,ok,16912
1948,0.8,555,555,1.0,ok,1774
1963,0.85,1411,1411,1.0,ok,6114
1971,0.69,343,343,1.0,ok,1253
1991,0.64,114,114,1.0,ok,294
1993,0.61,738,738,1.0,ok,3020
1994,0.52,96,96,1.0,ok,226
2001,,0,0,,fallback_no_valid_threshold,147
2006,,0,0,,fallback_no_valid_threshold,174
2014,,0,0,,fallback_no_valid_threshold,151
2022,0.83,1727,1727,1.0,ok,9801
2023,,0,0,,fallback_no_valid_threshold,160
2039,0.64,237,237,1.0,ok,480
2073,0.84,193,193,1.0,ok,1282
2088,0.72,2461,2461,1.0,ok,6642
2094,0.74,71,71,1.0,ok,395
2096,0.57,235,235,1.0,ok,490
2104,0.75,297,297,1.0,ok,1026
2127,,0,0,,fallback_no_valid_threshold,242
2129,0.87,859,859,1.0,ok,3239
2137,0.54,140,140,1.0,ok,378
2138,0.88,842,842,1.0,ok,4510
2140,0.86,2332,2332,1.0,ok,7637
2157,0.96,6175,6175,1.0,ok,16828
2162,,0,0,,fallback_no_valid_threshold,131
2164,,0,0,,fallback_no_valid_threshold,193
2183,0.93,11428,11428,1.0,ok,68444
2192,0.56,64,64,1.0,ok,104
2200,0.84,135,135,1.0,ok,571
2205,0.86,53,53,1.0,ok,250
2217,,0,0,,fallback_no_valid_threshold,136
2237,0.82,190,190,1.0,ok,1868
2238,0.72,99,99,1.0,ok,727
2242,0.91,182,182,1.0,ok,968
2251,0.52,88,88,1.0,ok,142
2258,0.75,129,129,1.0,ok,753
2263,0.7,701,701,1.0,ok,2501
2264,0.84,2600,2600,1.0,ok,7781
2267,0.54,86,86,1.0,ok,168
2272,0.65,96,96,1.0,ok,388
2273,0.52,100,100,1.0,ok,137
2274,0.78,1807,1807,1.0,ok,6629
2276,0.29,66,66,1.0,ok,100
2286,0.65,374,374,1.0,ok,907
2293,0.94,1543,1543,1.0,ok,9471
2303,0.59,150,150,1.0,ok,237
2312,,0,0,,fallback_no_valid_threshold,135
2319,0.68,205,205,1.0,ok,517
2323,0.9,155,155,1.0,ok,634
2328,0.77,1469,1469,1.0,ok,6471
2335,0.99,4404,4404,1.0,ok,18386
2336,0.55,87,87,1.0,ok,145
2337,0.53,64,64,1.0,ok,187
2338,0.84,683,683,1.0,ok,2491
2345,0.74,133,133,1.0,ok,248
2351,0.56,88,88,1.0,ok,119
2384,0.46,157,157,1.0,ok,199
2389,0.6,87,87,1.0,ok,182
2393,,0,0,,fallback_no_valid_threshold,115
2397,0.97,223,223,1.0,ok,2070
