token_id,count,mean,p05,p10,p15,p25,p50,p75,min_conf,max_conf
2525,33,0.922170928030303,0.5125,0.665625,0.85,0.95703125,1.0,1.0,0.412109375,1.0
3859,32,0.32354736328125,0.221435546875,0.24013671875,0.25947265625,0.27294921875,0.3291015625,0.35546875,0.205078125,0.453125
1682,32,0.8896484375,0.559375,0.664453125,0.7060546875,0.802734375,1.0,1.0,0.296875,1.0
16548,32,0.8685302734375,0.53984375,0.618359375,0.6640625,0.751953125,0.974609375,1.0,0.53125,1.0
897,32,0.8856201171875,0.674609375,0.719921875,0.79140625,0.8486328125,0.8671875,1.0,0.58203125,1.0
2613,32,0.89373779296875,0.5083984375,0.65078125,0.7374999999999999,0.8427734375,1.0,1.0,0.197265625,1.0
5301,31,0.7477318548387096,0.388671875,0.423828125,0.455078125,0.607421875,0.796875,0.92578125,0.2578125,1.0
573,31,0.9143775201612904,0.4423828125,0.69140625,0.74609375,0.98828125,1.0,1.0,0.34375,1.0
2083,31,0.9231980846774194,0.658203125,0.796875,0.853515625,0.9296875,0.95703125,1.0,0.486328125,1.0
2732,31,0.7736265120967742,0.29150390625,0.359375,0.4150390625,0.697265625,0.80078125,1.0,0.1669921875,1.0
8474,31,0.5504032258064516,0.53125,0.53125,0.53125,0.53125,0.53125,0.5625,0.53125,0.59375
965,31,0.973664314516129,0.857421875,0.91015625,0.947265625,0.974609375,1.0,1.0,0.76171875,1.0
48038,31,0.9242691532258065,0.6484375,0.796875,0.83984375,0.890625,0.9765625,1.0,0.57421875,1.0
4238,31,0.8136340725806451,0.458984375,0.478515625,0.5400390625,0.6640625,0.8515625,0.98828125,0.37109375,1.0
64,31,0.8392767137096774,0.58984375,0.60546875,0.62890625,0.669921875,0.9609375,1.0,0.322265625,1.0
10615,31,0.9175907258064516,0.44140625,0.71875,0.728515625,0.99609375,1.0,1.0,0.421875,1.0
6801,31,0.7292086693548387,0.427734375,0.5,0.5234375,0.59765625,0.76171875,0.88671875,0.29296875,1.0
12408,30,0.9229166666666667,0.671484375,0.729296875,0.7765625,0.890625,1.0,1.0,0.45703125,1.0
3951,30,0.8873046875,0.5130859375,0.523046875,0.5933593749999999,0.89453125,0.986328125,1.0,0.427734375,1.0
12038,30,0.468798828125,0.09025878906250001,0.122705078125,0.1240478515625,0.128173828125,0.20703125,1.0,0.048828125,1.0
13214,30,0.8688802083333333,0.532421875,0.6433593750000001,0.6796875,0.7578125,0.970703125,1.0,0.48828125,1.0
28242,30,0.8615885416666667,0.6796875,0.6796875,0.6796875,0.6865234375,0.93359375,1.0,0.65234375,1.0
1188,30,0.6200520833333333,0.378515625,0.507421875,0.515625,0.5166015625,0.60546875,0.703125,0.265625,1.0
